source,target,M1,M2,M3,M4,M5,M6
Dataset/synthetic_shape_dataset_multiple/star_21_original.png,Dataset/synthetic_shape_dataset_multiple/star_21_transformed_0.png,1.0586866476413157,0.21228634578382036,-20.0,-0.14690936704242546,1.0697198457425425,-7.0
Dataset/synthetic_shape_dataset_multiple/star_21_original.png,Dataset/synthetic_shape_dataset_multiple/star_21_transformed_1.png,1.0765134915891241,0.15899940627467707,-5.0,-0.15727321839032068,1.0767670330885215,19.0
Dataset/synthetic_shape_dataset_multiple/star_22_original.png,Dataset/synthetic_shape_dataset_multiple/star_22_transformed_0.png,1.0261721380016404,-0.12836458068751372,20.0,0.07821689891584828,1.0312074665701014,6.0
Dataset/synthetic_shape_dataset_multiple/star_22_original.png,Dataset/synthetic_shape_dataset_multiple/star_22_transformed_1.png,1.0703413818190477,-0.0611121867000393,19.0,0.1001006227385783,1.0674011609160436,-1.0
Dataset/synthetic_shape_dataset_multiple/star_23_original.png,Dataset/synthetic_shape_dataset_multiple/star_23_transformed_0.png,1.0489580408560746,0.16248533814497457,-18.0,-0.1840688264932062,1.045386590550173,4.0
Dataset/synthetic_shape_dataset_multiple/star_23_original.png,Dataset/synthetic_shape_dataset_multiple/star_23_transformed_1.png,1.0691576801442164,-0.12282908937698292,7.0,0.11204831162200599,1.0703412101153535,15.0
Dataset/synthetic_shape_dataset_multiple/star_24_original.png,Dataset/synthetic_shape_dataset_multiple/star_24_transformed_0.png,1.0695151770175388,0.07810113284005031,-20.0,-0.08914573098523211,1.0686512712147331,-9.0
Dataset/synthetic_shape_dataset_multiple/star_24_original.png,Dataset/synthetic_shape_dataset_multiple/star_24_transformed_1.png,0.9824855728486178,0.2263691046982116,4.0,-0.17015394728572256,0.9937648145515287,17.0
Dataset/synthetic_shape_dataset_multiple/star_25_original.png,Dataset/synthetic_shape_dataset_multiple/star_25_transformed_0.png,0.9989333176093393,0.04682432430107142,17.0,-0.12006919813693621,0.992795889412827,-11.0
Dataset/synthetic_shape_dataset_multiple/star_25_original.png,Dataset/synthetic_shape_dataset_multiple/star_25_transformed_1.png,1.0733761764200915,-0.2324037872404594,15.0,0.1538173531654752,1.087422713711228,-3.0
Dataset/synthetic_shape_dataset_multiple/star_26_original.png,Dataset/synthetic_shape_dataset_multiple/star_26_transformed_0.png,1.075731936460601,-0.07533284558349908,-10.0,0.06122288752244007,1.076627138237002,7.0
Dataset/synthetic_shape_dataset_multiple/star_26_original.png,Dataset/synthetic_shape_dataset_multiple/star_26_transformed_1.png,1.0479187540113861,0.02526955315446411,9.0,-0.09699036296835471,1.0437265613256517,16.0
Dataset/synthetic_shape_dataset_multiple/star_27_original.png,Dataset/synthetic_shape_dataset_multiple/star_27_transformed_0.png,1.0530739947454235,0.1360644316792205,15.0,-0.07589195140334894,1.0591122601922165,10.0
Dataset/synthetic_shape_dataset_multiple/star_27_original.png,Dataset/synthetic_shape_dataset_multiple/star_27_transformed_1.png,1.0015072656319246,-0.011263429285489906,0.0,0.08648927187972201,0.9978292808905334,18.0
Dataset/synthetic_shape_dataset_multiple/star_28_original.png,Dataset/synthetic_shape_dataset_multiple/star_28_transformed_0.png,1.064066573125667,0.21476429293696445,13.0,-0.12146929956831302,1.07870597607805,19.0
Dataset/synthetic_shape_dataset_multiple/star_28_original.png,Dataset/synthetic_shape_dataset_multiple/star_28_transformed_1.png,1.0453370394661026,-0.17810985186421713,-4.0,0.16861931201037483,1.0469098208671066,1.0
Dataset/synthetic_shape_dataset_multiple/star_29_original.png,Dataset/synthetic_shape_dataset_multiple/star_29_transformed_0.png,1.0909172377403809,0.04300641099584579,5.0,0.045899912921953875,1.090799325714681,-8.0
Dataset/synthetic_shape_dataset_multiple/star_29_original.png,Dataset/synthetic_shape_dataset_multiple/star_29_transformed_1.png,1.076952633549745,-0.005882475101433073,-17.0,0.09381954634257826,1.0728743967245762,1.0
Dataset/synthetic_shape_dataset_multiple/star_30_original.png,Dataset/synthetic_shape_dataset_multiple/star_30_transformed_0.png,1.027702301146319,0.08633135706164477,-7.0,-0.08817710768332704,1.027545580825565,15.0
Dataset/synthetic_shape_dataset_multiple/star_30_original.png,Dataset/synthetic_shape_dataset_multiple/star_30_transformed_1.png,1.0921705732533733,-0.12679473593534205,-2.0,0.13068242590189355,1.091712219269305,-3.0
Dataset/synthetic_shape_dataset_multiple/star_31_original.png,Dataset/synthetic_shape_dataset_multiple/star_31_transformed_0.png,0.9983155235912539,0.14794692816356717,-17.0,-0.16909638971074714,0.9949515511737775,1.0
Dataset/synthetic_shape_dataset_multiple/star_31_original.png,Dataset/synthetic_shape_dataset_multiple/star_31_transformed_1.png,1.0497544406485664,0.18011174031292135,8.0,-0.14058270433991263,1.0557751313136763,-11.0
