source,target,M00,M01,M02,M10,M11,M12,image_path
Dataset/synthetic_eye_dataset_train/img_0_original.png,Dataset/synthetic_eye_dataset_train/img_0_transformed_0.png,1.0,0.0,-0.12295219714464155,0.0,1.0,0.07172236579326341,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg
Dataset/synthetic_eye_dataset_train/img_1_original.png,Dataset/synthetic_eye_dataset_train/img_1_transformed_0.png,1.0,0.0,0.18216953811958475,0.0,1.0,-0.1299221635943416,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c1.jpg
Dataset/synthetic_eye_dataset_train/img_2_original.png,Dataset/synthetic_eye_dataset_train/img_2_transformed_0.png,1.0,0.0,0.13520678070278563,0.0,1.0,-0.08985470997002905,Dataset/Dataset-processed/15-12-2559/2011248/Rb/2011248_20161215__R_b2.jpg
Dataset/synthetic_eye_dataset_train/img_3_original.png,Dataset/synthetic_eye_dataset_train/img_3_transformed_0.png,1.0,0.0,0.13010895180584175,0.0,1.0,0.15750696406745557,Dataset/Dataset-processed/15-12-2559/2011248/Rb/2011248_20161215__R_b3.jpg
Dataset/synthetic_eye_dataset_train/img_4_original.png,Dataset/synthetic_eye_dataset_train/img_4_transformed_0.png,1.0,0.0,-0.008624881352685299,0.0,1.0,-0.15934132131812706,Dataset/Dataset-processed/15-12-2559/2011248/Rc/2011248_20161215__R_c1.jpg
Dataset/synthetic_eye_dataset_train/img_5_original.png,Dataset/synthetic_eye_dataset_train/img_5_transformed_0.png,1.0,0.0,-0.023817721659158936,0.0,1.0,0.11251239302298693,Dataset/Dataset-processed/15-12-2559/2011248/Rc/2011248_20161215__R_c2.jpg
Dataset/synthetic_eye_dataset_train/img_6_original.png,Dataset/synthetic_eye_dataset_train/img_6_transformed_0.png,1.0,0.0,-0.19546038974729943,0.0,1.0,-0.038088862684955094,Dataset/Dataset-processed/15-12-2559/2976988-16/b/2976988_20161216_b2.jpg
Dataset/synthetic_eye_dataset_train/img_7_original.png,Dataset/synthetic_eye_dataset_train/img_7_transformed_0.png,1.0,0.0,-0.05086974435651373,0.0,1.0,0.16975269719830516,Dataset/Dataset-processed/15-12-2559/2976988-16/b/2976988_20161216_b1.jpg
Dataset/synthetic_eye_dataset_train/img_8_original.png,Dataset/synthetic_eye_dataset_train/img_8_transformed_0.png,1.0,0.0,-0.043732659870192286,0.0,1.0,0.10024354479602937,Dataset/Dataset-processed/15-12-2559/2976988-16/c/2976988_20161216_c1.jpg
Dataset/synthetic_eye_dataset_train/img_9_original.png,Dataset/synthetic_eye_dataset_train/img_9_transformed_0.png,1.0,0.0,-0.07337769707897018,0.0,1.0,0.0918763857163577,Dataset/Dataset-processed/15-12-2559/2976988-16/c/2976988_20161216_c2.jpg
Dataset/synthetic_eye_dataset_train/img_10_original.png,Dataset/synthetic_eye_dataset_train/img_10_transformed_0.png,1.0,0.0,0.18669906102680195,0.0,1.0,0.01909428648210404,Dataset/Dataset-processed/15-12-2559/2976988-15/b/2976988_20161215_b1.jpg
