source,target,M1,M2,M3,M4,M5,M6,SourceImage
Dataset/synthetic_eye_dataset_train_multiple/img_0_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_0_transformed_0.png,1.0957554639456486,-0.015954961925126014,17.0,-0.015954961925126014,1.0957554639456486,16.0,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_0_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_0_transformed_1.png,1.0522355571084752,0.054548068954409036,10.0,0.054548068954409036,1.0522355571084752,-3.0,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c2.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_1_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_1_transformed_0.png,1.0793591931217983,0.007136819792449881,-3.0,0.007136819792449881,1.0793591931217983,-10.0,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c1.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_1_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_1_transformed_1.png,1.0385561735241453,-0.0868017469703198,19.0,-0.0868017469703198,1.0385561735241453,19.0,Dataset/Dataset-processed/15-12-2559/2011248/Lc/2011248_20161215__L_c1.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_2_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_2_transformed_0.png,1.0289758087414314,-0.017143204858323498,0.0,-0.017143204858323498,1.0289758087414314,12.0,Dataset/Dataset-processed/15-12-2559/2011248/Rb/2011248_20161215__R_b2.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_2_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_2_transformed_1.png,1.085084146763479,-0.00205054565937898,-6.0,-0.00205054565937898,1.085084146763479,6.0,Dataset/Dataset-processed/15-12-2559/2011248/Rb/2011248_20161215__R_b2.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_3_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_3_transformed_0.png,1.0800018189870901,-0.009551793960742348,-19.0,-0.009551793960742348,1.0800018189870901,-8.0,Dataset/Dataset-processed/15-12-2559/2011248/Rb/2011248_20161215__R_b3.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_3_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_3_transformed_1.png,1.0853666552434695,-0.029404038125723245,-12.0,-0.029404038125723245,1.0853666552434695,-14.0,Dataset/Dataset-processed/15-12-2559/2011248/Rb/2011248_20161215__R_b3.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_4_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_4_transformed_0.png,1.0223297351483707,-0.06000127009509664,11.0,-0.06000127009509664,1.0223297351483707,-18.0,Dataset/Dataset-processed/15-12-2559/2011248/Rc/2011248_20161215__R_c1.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_4_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_4_transformed_1.png,1.0184489622290813,0.014077920222319833,20.0,0.014077920222319833,1.0184489622290813,-16.0,Dataset/Dataset-processed/15-12-2559/2011248/Rc/2011248_20161215__R_c1.jpg
Dataset/synthetic_eye_dataset_train_multiple/img_5_original.png,Dataset/synthetic_eye_dataset_train_multiple/img_5_transformed_0.png,1.0882245282526095,-0.06364168576233907,-1.0,-0.06364168576233907,1.0882245282526095,-2.0,Dataset/Dataset-processed/15-12-2559/2011248/Rc/2011248_20161215__R_c2.jpg
